date,state,area,number_of_monitoring_stations,prominent_pollutants,aqi_value,air_quality_status,unit,note
11-03-2025,Madhya Pradesh,Pithampur,1.0,PM10,129.0,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
22-04-2023,Uttar Pradesh,Kanpur,4.0,PM10,103.0,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
15-10-2024,Assam,Silchar,1.0,PM10,64.0,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
12-06-2025,Maharashtra,Akola,1.0,PM10,61.0,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
15-12-2024,Maharashtra,Kolhapur,2.0,"PM2.5,PM10",110.0,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
21-04-2020,Punjab,Amritsar,1.0,O3,43.0,Good,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
03-06-2022,Assam,Guwahati,2.0,"PM10,O3",56.0,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
13-03-2022,Andhra Pradesh,Visakhapatnam,1.0,PM10,207.0,Poor,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
13-05-2023,Kerala,Thrissur,1.0,PM10,60.0,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
01-11-2024,Rajasthan,Barmer,1.0,PM10,174.0,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
02-02-2023,Karnataka,Kolar,1.0,SO2,166.0,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
06-05-2021,Madhya Pradesh,Katni,1.0,PM10,95.0,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
07-10-2023,Gujarat,Vatva,1.0,PM10,121.0,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
22-12-2024,Tamil Nadu,Nagapattinam,1.0,O3,40.0,Good,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
12-09-2024,Rajasthan,Jhunjhunu,1.0,PM10,56.0,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
28-05-2023,Karnataka,Bidar,1.0,NH3,35.0,Good,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
01-07-2021,Haryana,Hisar,1.0,PM10,300.0,Poor,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
30-11-2022,Punjab,Mandi Gobindgarh,1.0,PM2.5,166.0,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
10-12-2019,Maharashtra,Mumbai,9.0,"PM2.5,O3",174.0,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
03-06-2024,Maharashtra,Thane,3.0,PM10,66.0,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
17-08-2022,Haryana,Jind,1.0,CO,38.0,Good,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
09-02-2025,Haryana,Charkhi Dadri,1.0,PM2.5,218.0,Poor,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
24-06-2024,Rajasthan,Bhiwadi,2.0,"PM2.5,PM10",112.0,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
10-09-2024,Rajasthan,Bhilwara,1.0,PM10,44.0,Good,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
21-10-2023,Punjab,Jalandhar,1.0,PM10,85.0,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
17-10-2022,West Bengal,Haldia,1.0,PM10,67.0,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
24-02-2024,Rajasthan,Dausa,1.0,PM10,125.0,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
03-05-2024,Bihar,Hajipur,1.0,PM10,253.0,Poor,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
17-07-2022,Rajasthan,Bhiwadi,1.0,PM10,44.0,Good,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
29-03-2025,Odisha,Byasanagar,1.0,O3,187.0,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
13-03-2021,Maharashtra,Nashik,1.0,PM2.5,91.0,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
17-12-2022,Punjab,Jalandhar,1.0,PM2.5,252.0,Poor,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
05-03-2024,Odisha,Bileipada,1.0,PM10,141.0,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
29-05-2020,Punjab,Khanna,1.0,PM10,65.0,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
09-10-2018,Tamil Nadu,Chennai,2.0,"PM2.5,O3",98.0,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
17-05-2025,Madhya Pradesh,Sagar,2.0,"CO,O3",63.0,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
08-05-2023,Haryana,Panipat,1.0,PM10,107.0,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
18-06-2025,Odisha,Byasanagar,1.0,CO,73.0,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
04-10-2020,West Bengal,Siliguri,1.0,PM2.5,55.0,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
04-05-2024,Rajasthan,Karauli,1.0,PM10,156.0,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
01-01-2019,Uttar Pradesh,Agra,1.0,PM2.5,414.0,Severe,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
01-12-2024,Maharashtra,Virar,1.0,PM2.5,170.0,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
24-06-2024,Bihar,Muzaffarpur,3.0,"PM2.5,CO,O3",87.0,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
23-06-2022,Gujarat,Ahmedabad,6.0,"PM2.5,PM10,CO",99.0,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
27-03-2020,Punjab,Khanna,1.0,PM10,38.0,Good,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
24-10-2024,Rajasthan,Jhalawar,1.0,PM10,114.0,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
22-07-2018,Punjab,Bathinda,1.0,PM10,66.0,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
22-03-2025,Uttar Pradesh,Bareilly,1.0,PM10,78.0,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
10-09-2020,Gujarat,Vatva,1.0,PM10,150.0,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
15-11-2020,Telangana,Hyderabad,6.0,"PM2.5,PM10",108.0,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
11-12-2016,Andhra Pradesh,Visakhapatnam,1.0,PM10,101.0,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
16-05-2020,Maharashtra,Navi Mumbai,1.0,PM10,82.0,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
24-11-2023,Rajasthan,Dholpur,1.0,PM2.5,409.0,Severe,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
24-05-2018,Madhya Pradesh,Singrauli,1.0,PM10,217.0,Poor,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
11-06-2023,Karnataka,Haveri,1.0,CO,36.0,Good,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
05-12-2021,Karnataka,Yadgir,1.0,PM2.5,151.0,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
06-07-2024,Rajasthan,Jhunjhunu,1.0,PM10,74.0,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
27-07-2021,Haryana,Jind,1.0,PM2.5,62.0,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
28-06-2021,Uttar Pradesh,NOIDA,4.0,"PM10,O3",157.0,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
30-07-2017,Tamil Nadu,Chennai,3.0,PM2.5,76.0,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
01-08-2023,Meghalaya,Shillong,2.0,SO2,19.0,Good,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
04-08-2021,Kerala,Kozhikode,1.0,CO,56.0,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
08-08-2024,Chhattisgarh,Kunjemura,1.0,PM10,31.0,Good,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
19-02-2022,Rajasthan,Kota,1.0,PM2.5,141.0,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
20-01-2023,Karnataka,Shivamogga,1.0,O3,43.0,Good,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
10-07-2018,Rajasthan,Bhiwadi,1.0,PM10,161.0,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
17-01-2020,Rajasthan,Udaipur,1.0,PM10,85.0,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
20-07-2021,Uttar Pradesh,Prayagraj,2.0,"PM10,CO",26.0,Good,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
20-07-2016,Andhra Pradesh,Tirupati,1.0,NO2,59.0,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
11-09-2024,Maharashtra,Amravati,2.0,PM10,42.0,Good,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
18-08-2018,Maharashtra,Thane,1.0,NO2,89.0,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
22-02-2019,Maharashtra,Nagpur,1.0,O3,133.0,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
09-01-2022,Bihar,Rajgir,1.0,PM2.5,232.0,Poor,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
12-02-2025,Karnataka,Shivamogga,1.0,O3,52.0,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
12-05-2023,Gujarat,Ahmedabad,7.0,PM2.5,133.0,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
06-03-2018,Kerala,Thiruvananthapuram,1.0,PM2.5,99.0,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
31-10-2018,Karnataka,Bengaluru,9.0,"PM10,PM2.5,O3",92.0,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
17-04-2025,Uttar Pradesh,Jhansi,1.0,PM10,85.0,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
15-11-2024,Rajasthan,Bhiwadi,1.0,PM2.5,322.0,Very Poor,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
14-12-2024,Assam,Nagaon,1.0,PM2.5,147.0,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
03-04-2025,West Bengal,Haldia,1.0,PM10,44.0,Good,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
17-05-2020,Maharashtra,Chandrapur,2.0,"PM10,O3",66.0,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
16-03-2022,Mizoram,Aizawl,1.0,PM10,114.0,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
05-06-2023,Tamil Nadu,Hosur,1.0,PM10,68.0,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
29-08-2020,Haryana,Jind,1.0,NO2,46.0,Good,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
03-03-2019,Rajasthan,Jaipur,3.0,"PM10,PM2.5,O3",96.0,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
08-01-2018,Bihar,Gaya,1.0,PM2.5,287.0,Poor,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
25-07-2019,West Bengal,Kolkata,4.0,"PM10,PM2.5,O3",63.0,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
11-03-2017,Maharashtra,Navi Mumbai,1.0,PM10,68.0,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
27-01-2022,Kerala,Kollam,1.0,PM10,64.0,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
22-07-2023,Himachal Pradesh,Baddi,1.0,PM10,57.0,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
07-11-2024,Assam,Nagaon,1.0,CO,47.0,Good,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
17-09-2022,West Bengal,Siliguri,1.0,PM10,27.0,Good,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
05-05-2021,Gujarat,Gandhi Nagar,1.0,O3,52.0,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
28-12-2020,Chandigarh,Chandigarh,1.0,PM10,108.0,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
17-12-2024,Tamil Nadu,Ramanathapuram,1.0,PM10,102.0,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
07-05-2023,Bihar,Sasaram,1.0,O3,306.0,Very Poor,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
25-06-2019,Uttar Pradesh,Agra,1.0,PM2.5,66.0,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
10-11-2017,West Bengal,Durgapur,1.0,PM10,140.0,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
15-07-2023,Bihar,Patna,6.0,"PM10,O3",82.0,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
12-04-2018,Kerala,Thiruvananthapuram,1.0,CO,50.0,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
11-04-2021,Uttar Pradesh,Bulandshahr,1.0,PM10,240.0,Poor,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
22-09-2021,Maharashtra,Mumbai,19.0,"NO2,PM10,CO",53.0,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
10-12-2024,Haryana,Dharuhera,1.0,PM2.5,108.0,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
26-12-2015,Maharashtra,Navi Mumbai,1.0,PM10,88.0,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
29-11-2017,Maharashtra,Mumbai,1.0,PM10,149.0,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
10-11-2024,Maharashtra,Akola,1.0,PM10,125.0,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
22-11-2021,Punjab,Ludhiana,1.0,PM2.5,187.0,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
19-09-2022,Karnataka,Hubballi,1.0,CO,57.0,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
10-05-2025,Odisha,Balasore,1.0,PM10,127.0,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
21-02-2020,Madhya Pradesh,Dewas,1.0,PM2.5,144.0,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
17-06-2024,Madhya Pradesh,Pithampur,1.0,PM10,108.0,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
19-06-2025,Bihar,Sasaram,1.0,CO,49.0,Good,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
30-06-2021,Andhra Pradesh,Amaravati,1.0,PM10,48.0,Good,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
30-11-2023,Maharashtra,Dhule,1.0,PM10,126.0,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
06-09-2023,Bihar,Arrah,1.0,CO,67.0,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
26-09-2022,Haryana,Gurugram,3.0,"PM2.5,O3",121.0,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
11-09-2020,Nagaland,Kohima,1.0,PM10,50.0,Good,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
08-12-2023,Andhra Pradesh,Chittoor,1.0,PM10,89.0,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
16-08-2024,Maharashtra,Mira Bhayandar,1.0,PM10,37.0,Good,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
29-08-2019,Haryana,Rohtak,1.0,PM2.5,51.0,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
22-09-2021,Haryana,Fatehabad,1.0,O3,38.0,Good,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
01-02-2020,West Bengal,Siliguri,1.0,PM2.5,321.0,Very Poor,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
07-04-2025,Andhra Pradesh,Tirumala,1.0,CO,47.0,Good,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
26-08-2021,Haryana,Panchkula,1.0,PM2.5,168.0,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
20-10-2024,Haryana,Bhiwani,1.0,PM2.5,233.0,Poor,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
10-07-2024,Madhya Pradesh,Jabalpur,3.0,"PM2.5,PM10,CO",46.0,Good,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
28-03-2021,Maharashtra,Kalyan,1.0,PM2.5,293.0,Poor,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
19-01-2024,Haryana,Bhiwani,1.0,PM2.5,94.0,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
15-07-2024,Rajasthan,Jodhpur,5.0,PM10,82.0,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
15-09-2024,Gujarat,Ankleshwar,1.0,SO2,55.0,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
22-04-2024,Andhra Pradesh,Anantapur,1.0,PM10,86.0,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
28-12-2024,Maharashtra,Ulhasnagar,1.0,PM2.5,186.0,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
04-02-2024,Assam,Nalbari,1.0,PM2.5,142.0,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
19-03-2024,Rajasthan,Nagaur,1.0,PM10,129.0,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
28-12-2017,Maharashtra,Solapur,1.0,O3,159.0,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
01-04-2024,Andhra Pradesh,Anantapur,1.0,PM10,78.0,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
18-09-2021,Karnataka,Kolar,1.0,PM10,88.0,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
04-11-2024,Haryana,Faridabad,4.0,PM2.5,260.0,Poor,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
08-03-2024,Rajasthan,Banswara,1.0,PM10,110.0,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
02-06-2019,Haryana,Faridabad,1.0,PM2.5,140.0,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
09-09-2024,West Bengal,Asansol,4.0,PM10,57.0,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
13-12-2019,Rajasthan,Ajmer,1.0,PM10,86.0,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
23-04-2019,Punjab,Bathinda,1.0,PM10,76.0,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
12-11-2023,Maharashtra,Sangli,1.0,PM2.5,111.0,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
09-08-2023,Tamil Nadu,Gummidipoondi,1.0,PM10,107.0,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
24-01-2025,Punjab,Khanna,1.0,PM10,86.0,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
15-01-2022,Chandigarh,Chandigarh,2.0,"PM2.5,PM10",161.0,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
25-02-2023,Meghalaya,Shillong,1.0,PM2.5,82.0,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
15-09-2016,Uttar Pradesh,Kanpur,1.0,PM2.5,86.0,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
28-07-2023,Haryana,Ambala,1.0,CO,93.0,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
27-01-2023,Madhya Pradesh,Pithampur,1.0,PM2.5,190.0,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
08-09-2023,Jammu and Kashmir,Srinagar,1.0,PM10,94.0,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
23-09-2021,Kerala,Kochi,1.0,CO,43.0,Good,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
25-06-2017,Telangana,Hyderabad,5.0,"PM2.5,O3",49.0,Good,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
06-12-2018,Delhi,Delhi,32.0,"PM2.5,PM10",349.0,Very Poor,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
10-08-2022,Haryana,Narnaul,1.0,PM2.5,46.0,Good,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
25-05-2020,Gujarat,Gandhi Nagar,1.0,PM10,68.0,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
17-12-2023,Bihar,Chhapra,1.0,PM2.5,339.0,Very Poor,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
09-02-2021,Maharashtra,Navi Mumbai,3.0,"PM2.5,PM10",171.0,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
01-09-2019,Madhya Pradesh,Singrauli,1.0,PM10,69.0,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
16-07-2024,Maharashtra,Boisar,1.0,PM2.5,42.0,Good,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
31-10-2024,Tamil Nadu,Nagapattinam,1.0,PM2.5,78.0,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
08-04-2025,Haryana,Gurugram,1.0,PM2.5,204.0,Poor,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
10-11-2022,Jammu and Kashmir,Srinagar,1.0,PM10,62.0,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
22-01-2022,Madhya Pradesh,Jabalpur,1.0,PM10,145.0,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
30-03-2017,Maharashtra,Mumbai,1.0,PM10,118.0,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
30-04-2024,Odisha,Bhubaneswar,2.0,"PM2.5,O3",160.0,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
11-12-2023,Maharashtra,Solapur,3.0,"PM2.5,PM10",125.0,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
11-06-2021,Madhya Pradesh,Pithampur,1.0,O3,44.0,Good,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
30-07-2022,Madhya Pradesh,Dewas,1.0,PM10,65.0,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
02-02-2019,Haryana,Ballabgarh,1.0,PM2.5,211.0,Poor,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
06-04-2024,Uttar Pradesh,Firozabad,2.0,"PM2.5,PM10",56.0,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
26-08-2023,Punjab,Jalandhar,1.0,PM10,58.0,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
20-05-2024,Maharashtra,Mumbai,21.0,"O3,PM2.5,PM10",68.0,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
16-11-2022,Uttar Pradesh,Gorakhpur,1.0,PM10,122.0,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
19-01-2025,Karnataka,Gadag,1.0,PM10,61.0,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
02-01-2021,Kerala,Kozhikode,1.0,PM2.5,83.0,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
19-09-2016,Delhi,Delhi,6.0,"PM2.5,O3",193.0,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
31-05-2025,Rajasthan,Dausa,1.0,PM10,177.0,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
10-03-2022,Rajasthan,Pali,1.0,PM10,92.0,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
21-06-2023,Maharashtra,Nagpur,4.0,PM10,87.0,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
16-07-2024,Rajasthan,Bikaner,1.0,PM10,129.0,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
20-07-2023,Karnataka,Gadag,1.0,SO2,46.0,Good,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
09-07-2024,Maharashtra,Malegaon,1.0,PM10,59.0,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
16-05-2018,Maharashtra,Nagpur,1.0,PM10,106.0,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
13-05-2024,Bihar,Samastipur,1.0,PM10,59.0,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
31-05-2021,Madhya Pradesh,Katni,1.0,PM10,87.0,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
08-11-2023,Maharashtra,Kolhapur,2.0,PM10,70.0,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
20-09-2023,Odisha,Tensa,1.0,PM10,47.0,Good,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
02-10-2022,Gujarat,Ahmedabad,2.0,"PM10,O3",63.0,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
09-06-2024,Rajasthan,Jhunjhunu,1.0,PM10,140.0,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
18-03-2021,West Bengal,Howrah,2.0,"PM2.5,PM10",176.0,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
01-01-2016,Haryana,Faridabad,1.0,PM2.5,410.0,Severe,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
07-11-2018,Telangana,Hyderabad,6.0,"PM2.5,PM10",97.0,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
22-02-2023,Haryana,Palwal,1.0,PM2.5,73.0,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
10-12-2023,Maharashtra,Jalgaon,1.0,PM10,62.0,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
25-03-2022,Karnataka,Hassan,1.0,PM10,90.0,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
26-03-2019,Maharashtra,Pune,1.0,PM10,166.0,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
